xmax 4.000000 xmin 0.000000 ymax 4.000000 ymin 0.000000
xresolution 180 xresolution 180
x_one 0.000000 x_two 30.000000 y_one 0.000000 y_two 0.000000
x_one 0.000000 x_two 0.000000 y_one 0.000000 y_two 30.000000
x_one 120.000000 x_two 120.000000 y_one 0.000000 y_two 30.000000
x_one 30.000000 x_two 60.000000 y_one 0.000000 y_two 0.000000
x_one 60.000000 x_two 90.000000 y_one 0.000000 y_two 0.000000
x_one 90.000000 x_two 120.000000 y_one 0.000000 y_two 0.000000
x_one 90.000000 x_two 90.000000 y_one 0.000000 y_two 30.000000
x_one 0.000000 x_two 0.000000 y_one 30.000000 y_two 60.000000
x_one 120.000000 x_two 120.000000 y_one 30.000000 y_two 60.000000
x_one 0.000000 x_two 30.000000 y_one 30.000000 y_two 30.000000
x_one 60.000000 x_two 90.000000 y_one 30.000000 y_two 30.000000
x_one 0.000000 x_two 0.000000 y_one 60.000000 y_two 90.000000
x_one 120.000000 x_two 120.000000 y_one 60.000000 y_two 90.000000
x_one 0.000000 x_two 30.000000 y_one 60.000000 y_two 60.000000
x_one 30.000000 x_two 30.000000 y_one 60.000000 y_two 90.000000
x_one 60.000000 x_two 60.000000 y_one 60.000000 y_two 90.000000
x_one 60.000000 x_two 90.000000 y_one 60.000000 y_two 60.000000
x_one 90.000000 x_two 90.000000 y_one 60.000000 y_two 90.000000
x_one 90.000000 x_two 120.000000 y_one 60.000000 y_two 60.000000
x_one 0.000000 x_two 30.000000 y_one 120.000000 y_two 120.000000
x_one 0.000000 x_two 0.000000 y_one 90.000000 y_two 120.000000
x_one 120.000000 x_two 120.000000 y_one 90.000000 y_two 120.000000
x_one 30.000000 x_two 60.000000 y_one 120.000000 y_two 120.000000
x_one 60.000000 x_two 90.000000 y_one 120.000000 y_two 120.000000
x_one 90.000000 x_two 120.000000 y_one 120.000000 y_two 120.000000
